IP,Dự Án,Line,Station ID,Tên Trạm
10.239.51.95,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CELL_BJ26A-04,SMT-RF-CELL
10.239.51.86,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CELL_BJ26A-05,SMT-RF-CELL
10.239.58.196,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-FLASH_WT26A-03,SMT-FLASH
10.239.58.145,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-RF-CAL-CELL_BJ26A-07,SMT-RF-CAL-CELL
10.239.217.56,4CS4,FVN-E1F1-F02,4CS4_FVN-E1F1-F02_PACK-PROV-COMBO-10,PACK-PROV-COMBO-
10.239.217.51,4CS4,FVN-E1F1-F02,4CS4_FVN-E1F1-F02_PACK-PROV-COMBO-05,PACK-PROV-COMBO-
10.239.202.100,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-SOC-SHMOO_SF26A-03,FATP-SOC-SHMOO
10.239.202.159,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RF-DESENSE_BJ26A-03,FATP-RF-DESENSE
10.239.225.60,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-CAM-COMBO-1_IN26A-01,FATP-CAM-COMBO-1
10.239.220.102,4CS4,FVN-E1F1-F01,4CS4_FVN-E1F1-F01_PACK-PROV-COMBO-04,PACK-PROV-COMBO-
10.239.226.93,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_SA-REFLASH-02,SA-REFLASH-
10.239.226.80,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_SA-QT-0A_WT26A-02,SA-QT-0A
10.239.220.18,4CS4,FVN-E1F1-F02,4CS4_FVN-E1F1-F02_PACK-FRESET-03,PACK-FRESET-
10.239.202.80,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-SOC-SHMOO_SF26A-05,FATP-SOC-SHMOO
10.239.203.15,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-REFLASH-02,SA-REFLASH-
10.239.217.59,4CS4,FVN-E1F1-F02,4CS4_FVN-E1F1-F02_PACK-PROV-COMBO-13,PACK-PROV-COMBO-
10.239.220.38,4CS4,FVN-E1F1-E01,4CS4_FVN-E1F1-E01_PACK-PROV-COMBO-03,PACK-PROV-COMBO-
